epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,166.36,0.49214,1.77132,1.08487,0.98642,0.67778,0.88005,0.79824,0.54787,3.58964,0.64123,0.0005,0.0005,0.0005
2,350.286,0.44752,1.18024,1.03255,0.35867,0.41111,0.38655,0.27994,0.84845,3.85848,0.82512,0.000999804,0.000999804,0.000999804
3,562.313,0.494,1.02959,1.05789,0.45541,0.65556,0.48234,0.36526,0.91002,5.84546,0.98528,0.00147902,0.00147902,0.00147902
4,777.028,0.47253,1.03872,1.03994,0.05452,0.15556,0.02176,0.00621,3.18923,6.78382,3.71039,0.0018812,0.0018812,0.0018812
5,1000,0.44005,0.87809,1.01986,0.77369,0.7977,0.82647,0.57752,1.04641,11.5543,1.10292,0.0018416,0.0018416,0.0018416
6,1231.37,0.4343,0.79594,0.99789,0.87765,0.96667,0.97715,0.87787,0.58006,2.64416,0.63797,0.001802,0.001802,0.001802
7,1449.23,0.42219,0.7516,0.99962,0.88823,0.82222,0.84381,0.65015,0.81053,2.07011,0.72715,0.0017624,0.0017624,0.0017624
8,1681.41,0.4015,0.702,0.99409,0.60427,0.83137,0.76479,0.59124,0.59315,3.48728,0.62322,0.0017228,0.0017228,0.0017228
9,1891.96,0.41731,0.64278,0.99564,0.92849,0.87778,0.94596,0.85399,0.53596,2.78243,0.56926,0.0016832,0.0016832,0.0016832
10,2118.41,0.38993,0.62247,0.99577,0.82004,0.78889,0.90352,0.81101,0.50051,3.48773,0.55125,0.0016436,0.0016436,0.0016436
11,2346.37,0.37056,0.5806,0.96392,0.85232,0.89779,0.90572,0.81842,0.49355,2.80565,0.57151,0.001604,0.001604,0.001604
12,2550.61,0.34183,0.53878,0.95245,0.94119,0.88908,0.9663,0.90703,0.54846,1.25078,0.60067,0.0015644,0.0015644,0.0015644
13,2764.53,0.39016,0.56506,0.98234,0.87447,0.88889,0.86834,0.79179,0.48382,1.15827,0.65409,0.0015248,0.0015248,0.0015248
14,2962.71,0.35664,0.50841,0.95849,0.90034,0.9,0.94557,0.86822,0.53368,1.80373,0.60254,0.0014852,0.0014852,0.0014852
15,3184.36,0.3563,0.51085,0.95414,0.93312,0.94444,0.96764,0.89783,0.39135,1.06679,0.47918,0.0014456,0.0014456,0.0014456
16,3380.16,0.30667,0.47038,0.93419,0.95299,0.90094,0.9581,0.89214,0.41102,0.75973,0.49584,0.001406,0.001406,0.001406
17,3577.65,0.31656,0.4924,0.93774,0.96052,0.93333,0.97426,0.93105,0.28176,0.74548,0.39487,0.0013664,0.0013664,0.0013664
18,3777.75,0.29612,0.44953,0.92752,0.96902,0.96667,0.99069,0.96249,0.37409,0.7416,0.42621,0.0013268,0.0013268,0.0013268
19,3995.03,0.30755,0.42708,0.92859,0.97261,0.76667,0.94206,0.89751,0.44326,1.04675,0.49483,0.0012872,0.0012872,0.0012872
20,4194.87,0.30954,0.44863,0.95671,0.96095,0.98889,0.99095,0.924,0.52091,0.63212,0.53044,0.0012476,0.0012476,0.0012476
21,4392.11,0.3016,0.41858,0.93205,0.91906,0.93333,0.97166,0.9159,0.44231,0.70793,0.50648,0.001208,0.001208,0.001208
22,4602.17,0.26412,0.40959,0.92807,0.89262,0.98889,0.97625,0.92016,0.38097,0.69287,0.40309,0.0011684,0.0011684,0.0011684
23,4822.98,0.29912,0.42046,0.93768,0.91616,0.97139,0.97864,0.91807,0.39779,0.82576,0.44585,0.0011288,0.0011288,0.0011288
24,5038.2,0.29493,0.38533,0.9456,0.9625,1,0.99204,0.85015,0.52513,0.8013,0.5657,0.0010892,0.0010892,0.0010892
25,5276.21,0.2667,0.40024,0.92746,0.96722,0.84444,0.95822,0.90436,0.4914,0.84227,0.46603,0.0010496,0.0010496,0.0010496
26,5500.66,0.27389,0.39502,0.93471,0.97705,1,0.99312,0.95316,0.35948,0.43414,0.37373,0.00101,0.00101,0.00101
27,5712.33,0.26365,0.39997,0.92234,0.97666,1,0.99283,0.96473,0.29011,0.4838,0.37046,0.0009704,0.0009704,0.0009704
28,5930.2,0.25684,0.343,0.92213,0.96463,1,0.99324,0.95679,0.3115,0.55838,0.36124,0.0009308,0.0009308,0.0009308
